rank,youtuber,subscribers,video_views,video_count,category,started
120,Luis Fonsi,30900000,14480846921,121,Entertainment,2014-01-01
121,Selena Gomez,30900000,11583101067,182,Film & Animation,2008-01-01
122,Galinha Pintadinha,30800000,22858782418,62,Film & Animation,2006-01-01
123,SMTOWN,30800000,25203004950,3951,Music,2006-01-01
124,Mr Bean,30700000,9936630200,2661,Shows,2006-01-01
125,Bollywood Classics,30600000,19244430138,2008,Music,2012-01-01
126,CVS 3D Rhymes & Kids Songs,30500000,18636699832,338,Education,2008-01-01
127,Ricis Official,30500000,5134450983,2003,People & Blogs,2016-01-01
128,Trap Nation,30400000,13348694779,2472,Music,2012-01-01
129,Rajshri,30300000,13287506122,3739,Music,2006-01-01
130,DisneyMusicVEVO,30100000,24693346235,1771,Music,2010-01-01
131,Dream,30000000,2673017855,110,Gaming,2014-01-01
132,The Tonight Show Starring Jimmy Fallon,29900000,16006240303,7897,Comedy,2006-01-01
133,AH,29900000,4082464979,1809,Entertainment,2014-01-01
134,Saregama Music,29700000,12147894890,5718,Entertainment,2013-01-01
135,Spinnin' Records,29600000,20075386002,10826,Music,2007-01-01
136,rezendeevil,29600000,12599347383,11571,Gaming,2012-01-01
137,Shawn Mendes,29500000,11742431673,132,Music,2011-01-01
139,Boram Tube Vlog [보람튜브 브이로그],29400000,13109187449,223,Entertainment,2012-01-01
140,BabyBus - Kids Songs and Cartoons,29200000,23790606514,1825,Education,2016-01-01
141,AuronPlay,29200000,3935938048,404,Comedy,2006-01-01
142,The Weeknd,29100000,19280816380,123,Music,2011-01-01
143,Maluma,28700000,19638529002,20,Music,2018-01-01
144,Adele,28700000,12650300730,14,Music,2008-01-01
145,jacksepticeye,28600000,15485608801,4988,Gaming,2007-01-01
146,ImagineDragons,28600000,14307239074,67,Music,2009-01-01
147,Worldwide Records Bhojpuri,28600000,14501468946,5927,Music,2012-01-01
148,Ultra Music,28600000,16201384834,4665,Music,2006-01-01
149,Jingle Toons,28600000,9728073444,228,Film & Animation,2013-01-01
150,ashish chanchlani vines,28600000,4054589048,147,Comedy,2009-01-01
151,PowerKids TV,28400000,14322875759,2509,Film & Animation,2014-01-01
152,MrBeast Gaming,28400000,4943059589,132,Gaming,2020-01-01
153,Peppa Pig - Official Channel,28200000,21008328965,2020,Film & Animation,2013-01-01
154,قناة طيور الجنة | toyoraljanahtv,28100000,25743323512,3131,Entertainment,2008-01-01
155,DONA 도나,28100000,18421172559,160,Entertainment,2018-01-01
156,Techno Gamerz,28100000,7193172591,839,Gaming,2017-01-01
157,Wow Kidz,28000000,14967441549,3718,Film & Animation,2015-01-01
158,Talking Tom,28000000,13908482957,447,Comedy,2010-01-01
159,The Late Late Show with James Corden,27900000,9996299350,5422,Entertainment,2006-01-01
160,Little Angel: Nursery Rhymes & Kids Songs,27700000,20217178677,1146,Education,2015-01-01
161,GMANetwork,27600000,26290731375,114067,Entertainment,2006-01-01
162,KAROL G,27400000,14040459862,121,Music,2013-01-01
163,TheDonato,27200000,5094142687,2491,Entertainment,2015-01-01
165,Round2hell,27100000,2862422681,67,Comedy,2016-01-01
166,infobells - Tamil,26900000,16492704526,460,Education,2014-01-01
167,Drake,26800000,12947966180,53,Music,2009-01-01
168,MR. INDIAN HACKER,26800000,4592841527,812,Science & Technology,2012-01-01
169,Zee News,26700000,12175851183,144314,News & Politics,2007-01-01
170,ToypuddingTV,26600000,15570902183,2579,Entertainment,2014-01-01
171,Genevieve's Playhouse - Learning Videos for Kids,26500000,18579474197,578,Education,2016-01-01
172,Bounce Patrol - Kids Songs,26400000,18891028184,205,Music,2013-01-01
173,Wiz Khalifa,26400000,12528940373,598,Music,2008-01-01
174,infobells - Telugu,26300000,13426911345,421,Education,2014-01-01
175,enchufetv,26300000,10022194205,994,Comedy,2011-01-01
176,AboFlah,26300000,3589276436,553,Gaming,2016-01-01
177,DanTDM,26200000,18809615646,3603,Gaming,2012-01-01
178,Aditya Music,26100000,22661822099,19992,Music,2008-01-01
179,Lucas and Marcus,26100000,7942766503,968,Entertainment,2011-01-01
180,WORLDSTARHIPHOP,25900000,19426357466,6259,Music,2008-01-01
182,Michael Jackson,25800000,12588288710,7,Music,2005-01-01
183,TaylorSwiftVEVO,25800000,23276597783,239,Music,2009-01-01
184,toycantando,25800000,13948216340,496,Music,2009-01-01
185,VanossGaming,25700000,14907579962,1581,Gaming,2011-01-01
186,LosPolinesios,25600000,7086413849,725,People & Blogs,2012-01-01
187,1MILLION Dance Studio,25500000,7409442051,4251,Entertainment,2015-01-01
188,BB Ki Vines,25500000,4371751617,185,Entertainment,2015-01-01
189,Renato Garcia,25400000,6901320769,3648,Entertainment,2011-01-01
190,JYP Entertainment,25200000,17152981455,1502,Music,2008-01-01
191,RihannaVEVO,25200000,18089677017,106,Music,2009-01-01
192,Nick Jr.,25100000,20691684541,4712,Film & Animation,2012-01-01
193,Smosh,25000000,10184035967,1366,Comedy,2005-01-01
194,EminemVEVO,24900000,18786748261,98,Music,2009-01-01
195,Marília Mendonça,24900000,16477333283,114,Music,2013-01-01
196,Beyoncé,24900000,15717379166,234,Music,2005-01-01
197,Yuya,24900000,2583410213,672,Howto & Style,2009-01-01
198,KatyPerryVEVO,24800000,22679485513,171,Music,2009-01-01
199,Jess No Limit,24700000,3060187306,1914,Entertainment,2017-01-01
200,WatchMojo.com,24600000,15650528115,22492,Music,2007-01-01
201,Las Ratitas,24600000,9217427023,217,People & Blogs,2015-01-01
202,Nicki Minaj,24500000,9386490086,31,Music,2013-01-01
204,Goldmines Dishoom,24400000,7143695444,2844,Film & Animation,2016-01-01
205,David Guetta,24300000,15959928823,633,Music,2009-01-01
206,Masha y el Oso,24300000,11006209206,840,Film & Animation,2016-01-01
207,Aditya Movies,24300000,7908171009,4274,Movies,2012-01-01
208,Netflix,24300000,5678834326,5650,Entertainment,2012-01-01
209,ZHC,24300000,2224916696,298,Film & Animation,2013-01-01
210,Post Malone,24200000,12492313399,51,Music,2011-01-01
211,1theK (원더케이),24200000,22605283252,16928,Music,2011-01-01
212,Amit Bhadana,24100000,2242631303,93,Entertainment,2012-01-01
213,Rans Entertainment,24000000,5688277632,3060,People & Blogs,2015-01-01
214,Chloe Ting,24000000,2735828023,367,Howto & Style,2011-01-01
215,Sandeep Maheshwari,24000000,1821164544,513,People & Blogs,2012-01-01
216,Raffy Tulfo in Action,23900000,12797189774,8755,News & Politics,2016-01-01
217,KSI,23900000,5898102699,1242,Entertainment,2009-01-01
218,Collins Key,23900000,6368398946,251,Entertainment,2011-01-01
219,James Charles,23900000,3687600020,406,Entertainment,2015-01-01
220,Ninja,23900000,2447087199,1418,Gaming,2011-01-01
221,Coldplay,23500000,15078170011,347,Music,2010-01-01
222,Logan Paul,23500000,5889189870,712,Entertainment,2015-01-01
223,DJ Snake,23400000,7645734689,209,Music,2008-01-01
224,Chris Brown,23400000,13630944140,21,Music,2006-01-01
225,Happy Lives,23400000,10089784164,596,Science & Technology,2016-01-01
226,TRANS7 OFFICIAL,23300000,12454676964,78951,Entertainment,2014-01-01
227,Troom Troom,23200000,9797581328,1992,Howto & Style,2015-01-01
228,ABPLIVE,23200000,6805551423,146479,People & Blogs,2017-01-01
229,Mister Max,23100000,14762469807,1046,People & Blogs,2014-01-01
230,NickyJamTV,23100000,15050718616,328,Music,2012-01-01
231,Shemaroo Movies,23000000,5590554837,2155,Entertainment,2011-01-01
232,Sesame Street,22900000,21078177585,3425,Entertainment,2006-01-01
233,Enrique Iglesias,22900000,16539033540,405,Music,2007-01-01
234,netd müzik,22800000,50658927334,20482,Music,2014-01-01
235,Jelly,22800000,14239994409,5667,Gaming,2014-01-01
236,Erlania e Valentina Pontes,22700000,7556615404,1117,Film & Animation,2014-01-01
237,DrossRotzank,22500000,5743037460,1508,Entertainment,2006-01-01
238,Anuel AA,22400000,11627613226,92,Music,2016-01-01
239,Goldmines Bollywood,22400000,7122122133,2409,Film & Animation,2015-01-01
240,Miss Katy,22300000,13424354473,990,People & Blogs,2014-01-01
241,The Chainsmokers,22300000,13337815978,237,Music,2012-01-01
242,Crazy XYZ,22300000,5869132761,1085,Entertainment,2017-01-01
243,Frost Diamond,22300000,5357578673,2191,Gaming,2014-01-01
244,Mark Rober,22300000,2935811566,107,Science & Technology,2011-01-01
245,The Lallantop,22200000,8155335430,39370,News & Politics,2015-01-01
246,Technical Guruji,22200000,3065204553,4609,Science & Technology,2015-01-01
247,GMM GRAMMY OFFICIAL,22100000,24128528075,13755,Music,2010-01-01
248,HUM TV,22100000,16656148835,59428,Entertainment,2011-01-01
249,Like Nastya AE,22100000,11179266145,576,Entertainment,2018-01-01
250,WB Kids,22100000,9340794746,1722,People & Blogs,2015-01-01
251,Venus Movies,22100000,6293790011,2456,Entertainment,2010-01-01
252,OneDirectionVEVO,22000000,11550410746,266,Music,2010-01-01
253,Smile Family,22000000,8261468075,413,People & Blogs,2018-01-01
254,mmoshaya,21900000,16356422375,1139,People & Blogs,2010-01-01
255,Lady Gaga,21900000,13835267771,172,People & Blogs,2008-01-01
256,White Hill Music,21700000,9719487276,5094,Entertainment,2014-01-01
257,Paulo Londra,21700000,7061442001,52,Music,2016-01-01
258,America's Got Talent,21700000,4016933296,2751,Entertainment,2006-01-01
259,TED,21700000,2370380465,4005,People & Blogs,2006-01-01
260,Sia,21600000,12150226022,144,Music,2007-01-01
262,Wave Music Bhojpuri,21500000,12148385591,21294,Music,2014-01-01
263,Peppa Pig Español Latino - Canal Oficial,21500000,6961098158,949,Film & Animation,2014-01-01
264,FaZe Rug,21500000,6009951177,1997,Gaming,2012-01-01
265,Goldmines Movies,21400000,4575205400,4025,Film & Animation,2013-01-01
266,Pen Movies,21200000,5588648749,1569,Film & Animation,2014-01-01
267,nigahiga,21200000,4357416327,403,Entertainment,2006-01-01
268,BabyBus - Canciones Infantiles & Cuentos,21100000,11922457689,973,Education,2018-01-01
269,Enaldinho,21100000,7382859153,2908,Comedy,2012-01-01
270,SSundee,21000000,12022708572,3067,Gaming,2009-01-01
271,Tasty,21000000,5508445771,4310,Howto & Style,2016-01-01
272,FGTeeV,20900000,22567064225,1594,Gaming,2013-01-01
273,Dua Lipa,20900000,9928011592,164,Music,2011-01-01
274,5-Minute Crafts DIY,20900000,4934552904,3961,Howto & Style,2018-01-01
275,Juan De Dios Pantoja,20900000,1601142353,175,Entertainment,2014-01-01
276,Indosiar,20800000,10126082404,58623,Music,2013-01-01
277,Like Nastya PRT,20800000,10441789042,529,Entertainment,2019-01-01
278,Preston,20800000,6955897177,3861,Gaming,2012-01-01
279,Baim Paula,20800000,4254648656,1957,People & Blogs,2016-01-01
280,Charlie Puth,20700000,8609202215,132,Music,2009-01-01
281,Canal Canalha,20700000,1834293432,291,Comedy,2011-01-01
282,MrBeast en Español,20700000,2290112686,72,Entertainment,2021-01-01
283,Goldmines Cineplex,20600000,1796017693,2474,Film & Animation,2015-01-01
284,Brent Rivera,20500000,4655819045,484,Comedy,2009-01-01
285,Kids TV - Nursery Rhymes And Baby Songs,20400000,11747446967,3367,Shows,2013-01-01
286,Disney Latinoamérica,20400000,19296050086,7811,Entertainment,2007-01-01
287,Becky G,20400000,9552800638,73,Music,2011-01-01
288,Family GamesTV,20400000,7061690830,277,Entertainment,2016-01-01
289,Jake Paul,20400000,7219140294,934,People & Blogs,2013-01-01
290,National Geographic,20400000,5199519260,9854,Science & Technology,2006-01-01
291,Tekashi 6ix9ine,20400000,5325195339,25,People & Blogs,2018-01-01
292,BuzzFeedVideo,20300000,17755714250,7347,People & Blogs,2011-01-01
293,Brave Wilderness,20300000,4606459332,718,Pets & Animals,2014-01-01
295,Avicii,20200000,9499913181,149,Music,2009-01-01
296,REACT,20100000,12940702514,3885,Entertainment,2007-01-01
297,LazarBeam,20100000,8389982773,1258,Gaming,2015-01-01
298,StarPlus,20100000,12116551500,12702,Entertainment,2006-01-01
299,AuthenticGames,20100000,8852635760,4638,Gaming,2011-01-01
300,Vevo,20000000,546905035,1519,Music,2006-01-01
301,Skrillex,20000000,6307539008,180,Music,2010-01-01
302,Rotana,20000000,16480938259,8109,Music,2012-01-01
303,Ultra Movie Parlour,20000000,4930920530,1302,Movies,2011-01-01
304,SlivkiShow,20000000,4345234891,426,Entertainment,2012-01-01
305,HaerteTest,20000000,3027361293,1160,Science & Technology,2011-01-01
306,5-Minute Crafts PLAY,19900000,5616881420,4440,Howto & Style,2017-01-01
307,Alan Becker,19900000,4321286202,116,Film & Animation,2006-01-01
308,JennaMarbles,19900000,1761774908,250,Comedy,2010-01-01
309,Mnet K-POP,19800000,15394134862,29028,Entertainment,2006-01-01
310,Lyrical Lemonade,19800000,9563010656,408,Entertainment,2013-01-01
311,Pencilmation,19800000,10849211839,1153,Film & Animation,2007-01-01
312,Tlnovelas,19700000,12776498114,29574,News & Politics,2013-01-01
313,Pentatonix,19700000,5694327707,235,Music,2011-01-01
314,Totoy kids - Português,19700000,3826474945,174,Film & Animation,2014-01-01
315,LankyBox,19600000,25787517689,5545,Comedy,2016-01-01
316,toyorbabytv,19600000,13978892435,1057,Music,2012-01-01
318,shane,19600000,4269173489,566,People & Blogs,2005-01-01
319,Marvel Entertainment,19500000,5098361752,7989,Entertainment,2005-01-01
320,Noor Stars,19500000,2545886796,627,Comedy,2014-01-01
321,GMA Public Affairs,19400000,11968987179,37390,Entertainment,2009-01-01
322,Romeo Santos,19400000,14819598563,28,Music,2005-01-01
323,Got Talent Global,19400000,7383775138,2454,Entertainment,2013-01-01
324,Dr. Vivek Bindra: Motivational Speaker,19400000,1478660028,683,Education,2013-01-01
325,Linkin Park,19300000,11783975855,592,Music,2006-01-01
326,Gordon Ramsay,19300000,3631748240,1287,Entertainment,2006-01-01
327,Troom Troom Es,19200000,7139476227,2591,People & Blogs,2016-01-01
328,Gusttavo Lima Oficial,19200000,11815001366,335,Music,2010-01-01
329,Kinder Spielzeug Kanal,19200000,9413508600,699,Entertainment,2015-01-01
330,Infinite,19200000,4383533818,1517,Entertainment,2014-01-01
331,Deddy Corbuzier,19200000,4075368246,1132,Entertainment,2009-01-01
333,Robin Hood Gamer,19100000,9328209625,3750,Entertainment,2014-01-01
334,★ Kids Roma Show,19100000,6410853410,589,People & Blogs,2015-01-01
335,Fatos Desconhecidos,19100000,3252868093,5240,Entertainment,2013-01-01
336,JukiLop,19100000,1540403509,85,People & Blogs,2017-01-01
337,Crafty Panda,19000000,5672497949,613,People & Blogs,2017-01-01
338,Kurzgesagt – In a Nutshell,19000000,2052293685,161,Education,2013-01-01
339,DLS News,19000000,1946197106,3559,News & Politics,2017-01-01
340,NBA,18900000,10791851871,42086,Sports,2005-01-01
341,Jimmy Kimmel Live,18800000,12472520905,6073,Entertainment,2006-01-01
342,The ACE Family,18800000,4497282091,668,People & Blogs,2016-01-01
343,Clash of Clans,18800000,3623586697,553,Gaming,2013-01-01
344,Sun TV,18700000,13622998578,34648,People & Blogs,2016-01-01
345,Ninja Kidz TV,18700000,9145485770,267,Entertainment,2017-01-01
346,Netflix India,18700000,5228700571,2707,People & Blogs,2016-01-01
347,Beast Reacts,18700000,2528480817,215,People & Blogs,2016-01-01
348,Britain's Got Talent,18600000,10512530241,3735,Entertainment,2008-01-01
349,TRT Originals Urdu,18600000,7370103100,740,Entertainment,2020-01-01
350,Lil Nas X,18600000,5659051618,37,Music,2018-01-01
351,Calvin Harris,18500000,14886853329,76,Music,2007-01-01
352,Green Gold TV - Official Channel,18500000,8985315647,1090,Film & Animation,2011-01-01
353,TheWillyrex,18500000,6957319094,6798,Comedy,2011-01-01
354,Cardi B,18500000,7069624864,60,People & Blogs,2016-01-01
355,invictor,18500000,7050721828,2106,Gaming,2013-01-01
356,shakiraVEVO,18400000,22257341033,189,Music,2009-01-01
357,CKN,18300000,18786377776,814,Entertainment,2015-01-01
358,Official Pink Panther,18300000,9942133522,629,Film & Animation,2013-01-01
359,Sonotek,18300000,7133240982,8169,Entertainment,2011-01-01
360,MiawAug,18200000,5236302709,3287,Gaming,2014-01-01
361,KBS WORLD TV,18200000,13926619677,58485,Entertainment,2007-01-01
362,Turma da Mônica,18200000,13088159940,1094,Film & Animation,2012-01-01
363,CookieSwirlC,18200000,20938593710,3571,Entertainment,2013-01-01
364,David Dobrik,18200000,7087407988,536,People & Blogs,2014-01-01
365,Unbox Therapy,18200000,4332532776,2053,Science & Technology,2010-01-01
366,The Royalty Family,18200000,4490004408,633,People & Blogs,2017-01-01
367,A_S Gaming,18200000,2476464261,932,Gaming,2016-01-01
368,HiMan,18200000,2367699484,326,People & Blogs,2014-01-01
369,BabyBus - Cerita & Lagu Anak-anak,18100000,10232250581,672,Education,2019-01-01
370,Dan-Sa / Daniel Saboya,18100000,6165702828,2062,Music,2007-01-01
371,Vania Mania Kids,18100000,6908411472,825,People & Blogs,2015-01-01
372,PDK Films,18100000,3910330714,108,Entertainment,2009-01-01
373,GEN HALILINTAR,18100000,3178960318,969,Entertainment,2015-01-01
374,ElTrollino,18000000,5486103239,1517,Entertainment,2013-01-01
375,Мирошка ТВ,18000000,4603751673,84,Education,2018-01-01
376,TheOdd1sOut,18000000,4023496321,113,Comedy,2014-01-01
377,INCRÍVEL,18000000,3017467860,5682,People & Blogs,2017-01-01
378,Emiway Bantai,18000000,3038899728,201,Music,2013-01-01
379,Vsauce,18000000,2415927927,391,Science & Technology,2007-01-01
380,Farruko,17900000,8480000414,193,Music,2009-01-01
381,Diana and Roma EN,17900000,3868166958,424,People & Blogs,2011-01-01
382,ArianaGrandeVevo,17800000,19011269725,177,Music,2010-01-01
383,Like Nastya Vlog,17800000,7561933732,397,People & Blogs,2016-01-01
384,Demi Lovato,17800000,6495131112,282,Music,2008-01-01
385,Lele Pons,17800000,4958584356,154,Comedy,2015-01-01
386,Lil Pump,17800000,4091109829,59,Music,2015-01-01
387,Naisa Alifia Yuriza (N.A.Y),17800000,2521515641,1462,People & Blogs,2017-01-01
388,SCTV,17700000,8588329369,50080,Entertainment,2011-01-01
389,Good Mythical Morning,17700000,8074270215,2980,Entertainment,2008-01-01
390,TheGrefg,17700000,6077820746,3332,Gaming,2012-01-01
391,Ali-A,17700000,5766028299,3920,Gaming,2006-01-01
392,Marmok,17700000,3131925799,344,Gaming,2008-01-01
393,Mother Goose Club Playhouse,17600000,15500399390,1282,Shows,2009-01-01
394,RsiamMusic : อาร์สยาม,17600000,10952154122,2663,Music,2011-01-01
395,Little Angel Español - Canciones Infantiles,17600000,8525569510,580,Education,2018-01-01
396,Познаватель,17600000,8522826642,476,Entertainment,2014-01-01
397,JFlaMusic,17600000,3657526529,282,Music,2011-01-01
398,Village Cooking Channel,17600000,4477436881,211,Howto & Style,2018-01-01
399,FactTechz,17500000,2112929572,578,Entertainment,2016-01-01
400,Sebastián Yatra,17400000,9316925082,196,News & Politics,2013-01-01
401,officialpsy,17400000,9825292199,119,Music,2010-01-01
403,Porta dos Fundos,17400000,7258838590,1960,Entertainment,2012-01-01
404,Liza Koshy,17400000,2595554113,189,Comedy,2013-01-01
405,etvteluguindia,17300000,19465295267,111360,Entertainment,2010-01-01
406,Vijay Television,17300000,19901616359,27059,Entertainment,2007-01-01
407,TED-Ed,17300000,3287834094,1948,Education,2011-01-01
408,Stubborn Facts,17300000,827786482,217,Film & Animation,2016-01-01
409,PopularMMOs,17200000,14475783059,4686,Gaming,2012-01-01
410,SQUEEZIE,17200000,9258609822,1471,Gaming,2011-01-01
411,Masha e o Urso,17200000,7131816532,856,Shows,2016-01-01
412,Willyrex,17200000,4808457361,6686,Gaming,2009-01-01
413,RobleisIUTU,17200000,4680573231,1145,Entertainment,2013-01-01
414,EeOneGuy,17200000,3804413513,363,Entertainment,2013-01-01
415,LuisFonsiVEVO,17100000,14008585257,96,Music,2009-01-01
416,GRAMMY GOLD OFFICIAL,17100000,17974040182,5334,Music,2014-01-01
417,SUPER SLICK SLIME SAM,17100000,6078466417,741,Howto & Style,2018-01-01
